url,course_name,rating
https://www.coursera.org/projects/apis-c-sharp-create-student-management-api,APIs in C#: Create a Student Management API,
https://www.coursera.org/projects/apis-java-call-integrate-api,APIs in Java: Call and Integrate an API,
https://www.coursera.org/projects/node-js-restful-api-backend-app,APIs in Node.js: Write a RESTful API Backend Application,
https://www.coursera.org/learn/arm-cortex-stm32-deep-dive-mastering-embedded-systems,ARM Cortex (STM32) Deep Dive: Mastering Embedded Systems,
https://www.coursera.org/learn/arm-cortex-fundamentals-building-embedded-systems,ARM Cortex (STM32) Fundamentals: Building Embedded Systems,
https://www.coursera.org/projects/aws-autogluon-for-ml-classification,AWS AutoGluon for Machine Learning Classification,
https://www.coursera.org/learn/colors-bodies-power,"ART of the MOOC: Colors, Bodies, Power",
https://www.coursera.org/learn/packt-asp-net-core-mvc-cross-platform-development-udgh6,ASP.NET Core MVC - Cross-Platform Development,
https://www.coursera.org/learn/aws-architect-associate-aws-advanced,AWS Advanced,
https://www.coursera.org/learn/aws-trails-for-aws-cloudtrail-getting-started,AWS CloudTrail Getting Started,
https://www.coursera.org/learn/aws-architect-associate-aws-services,AWS Certified Solutions Architect,
https://www.coursera.org/learn/aws-cloud-for-data-and-database-migration,AWS Cloud for Data and Database Migration,
https://www.coursera.org/learn/packt-asp-net-core-solid-and-clean-architecture-net-5-and-up-iqwi9,ASP.NET Core - SOLID and Clean Architecture (.NET 5 and Up),
https://www.coursera.org/learn/aws-cloud-essentials,AWS Cloud Essentials,
https://www.coursera.org/learn/aws-elemental-statmux,AWS Elemental Statmux,
https://www.coursera.org/learn/aws-core-services,AWS Core Services,
https://www.coursera.org/learn/aws-elemental-live-foundations,AWS Elemental Live Foundations,
https://www.coursera.org/learn/aws-flash-saas-technical-fundamentals,AWS Flash - SaaS Technical Fundamentals,
https://www.coursera.org/learn/packt-aws-data-processing-and-analysis-fezz2,AWS Data Processing and Analysis,
https://www.coursera.org/learn/aws-dynamodb-fundamentals,AWS DynamoDB Fundamentals,
https://www.coursera.org/learn/aws-hybrid-storage-services-getting-started,AWS Hybrid Storage Services Getting Started,
https://www.coursera.org/learn/packt-aws-data-collection-and-storage-bjwsr,AWS Data Collection and Storage,
https://www.coursera.org/learn/aws-mainframe-modernization-replatform-with-micro-focus-getting-started,AWS Mainframe Modernization Replatform with Micro Focus Getting Started,
https://www.coursera.org/learn/aws-network-connectivity-options,AWS Network Connectivity Options,
https://www.coursera.org/learn/aws-migration-evaluator-getting-started,AWS Migration Evaluator Getting Started,
https://www.coursera.org/learn/packt-aws-iam-the-cloud-engineers-security-handbook-trgh5,AWS IAM: The Cloud Engineer's Security Handbook,
https://www.coursera.org/learn/aws-organizations-getting-started,AWS Organizations Getting Started,
https://www.coursera.org/learn/aws-cloud-practitioner-certification-aws-pricing,AWS Pricing,
https://www.coursera.org/learn/aws-aws-security-encryption-fundamentals,AWS Security – Encryption Fundamentals,
https://www.coursera.org/learn/aws-cloud-practitioner-certification-aws-services,AWS Services,
https://www.coursera.org/learn/aws-wickr-getting-started,AWS Wickr Getting Started,
https://www.coursera.org/learn/aws-tools-to-develop-run-and-modernize-net-workloads,"AWS Tools to Develop, Run, and Modernize .NET Workloads",
https://www.coursera.org/learn/aws-storage-data-protection-services-getting-started,AWS Storage Data Protection Services Getting Started,
https://www.coursera.org/learn/aws-aws-x-ray-getting-started,AWS X-Ray Getting Started,
https://www.coursera.org/learn/aws-application-integration-and-networking,AWS: Application Integration and Networking,
https://www.coursera.org/learn/packt-aws-visualization-security-and-exam-preparation-qhnbz,"AWS Visualization, Security, and Exam Preparation",
https://www.coursera.org/learn/aws-cicd-pipelines-and-deployment-strategies,AWS: CI/CD Pipelines and Deployment Strategies,
https://www.coursera.org/learn/aws-compute-and-data-transfer,AWS: Compute and Data Transfer,
https://www.coursera.org/learn/aws-containerization,AWS: Containerization,
https://www.coursera.org/learn/aws-configuration-management-and-infrastructure-as-code,AWS: Configuration Management and Infrastructure as Code,
https://www.coursera.org/learn/aws-database,AWS: Databases,
https://www.coursera.org/learn/aws-monitoring-and-logging,AWS: Monitoring and Logging,
https://www.coursera.org/learn/aws-data-management-and-backups,AWS: Data Management and Backups,
https://www.coursera.org/learn/aws-identity-and-access-management,AWS: Identity and Access Management,
https://www.coursera.org/learn/aws-data-protection-and-security-governance,AWS: Data Protection and Security Governance,
https://www.coursera.org/learn/aws-data-analytics,AWS: Data Analytics,
https://www.coursera.org/learn/aws-infrastructure-security,AWS: Infrastructure Security,
https://www.coursera.org/learn/aws-monitoring-logging-and-governance,"AWS: Monitoring, Logging and Governance",
https://www.coursera.org/learn/aws-network-management-and-operations,AWS: Network Management and Operations,
https://www.coursera.org/learn/aws-task-automation-and-network-integration,AWS: Task Automation and Network Integration ,
https://www.coursera.org/learn/aws-network-security-compliance-and-governance,"AWS: Network Security, Compliance and Governance",
https://www.coursera.org/learn/aws-scalability-deployment-and-provisioning,"AWS: Scalability, Deployment, and Provisioning",
https://www.coursera.org/learn/aws-resilient-solutions-and-security-controls,AWS: Resilient Solutions and Security Controls,
https://www.coursera.org/learn/aws-security-governance-and-compliance,"AWS: Security, Governance, and Compliance",
https://www.coursera.org/learn/aws-storage,AWS: Storage,
https://www.coursera.org/learn/aws-security-and-cost-optimization-strategies,AWS: Security and Cost Optimization strategies,
https://www.coursera.org/learn/aws-networking,AWS: Networking,
https://www.coursera.org/learn/aws-threat-detection-logging-and-monitoring,"AWS: Threat Detection, Logging and Monitoring",
https://www.coursera.org/projects/abrechnung-und-zahlung-auf-pinterest,Abrechnung und Zahlung auf Pinterest,
https://www.coursera.org/learn/projektmanagement-in-der-realen-welt-anwenden,Abschlussprojekt: Projektmanagement in der realen Welt anwenden,
https://www.coursera.org/learn/packt-aws-tutorial-aws-solutions-architect-and-sysops-administrator-la2fz,AWS Tutorial: AWS Solutions Architect & SysOps Administrator,
https://www.coursera.org/learn/academic-success-for-english-learners,Academic Success for English Learners,
https://www.coursera.org/projects/googlecloud-accelerating-analytical-queries-using-the-alloydb-columnar-eng-uugpx,Accelerating Analytical Queries using the AlloyDB Columnar Engine,
https://www.coursera.org/projects/googlecloud-accelerate-migration-from-control-m-to-apache-airflow-with-dag-jgkho,Accelerate Migration from Control-M to Apache Airflow with DAGify,
https://www.coursera.org/learn/accountability-employee-engagement,Accountability and Employee Engagement,
https://www.coursera.org/learn/ace-the-computer-science-interview-strategies-for-success,Ace the Computer Science Interview: Strategies for Success,
https://www.coursera.org/projects/accroitre-l-engagement-de-votre-profil-d-entreprise-sur-instagram,Accroître l’engagement de votre profil d’entreprise sur IG,
https://www.coursera.org/learn/gcp-advanced-insights-bigquery-es,Achieving Advanced Insights with BigQuery - Español,
https://www.coursera.org/learn/gcp-advanced-insights-bigquery-ptbr,Achieving Advanced Insights with BigQuery - Português,
https://www.coursera.org/learn/achieving-advanced-insights-with-bigquery---franais,Achieving Advanced Insights with BigQuery - Français,
https://www.coursera.org/learn/gcp-advanced-insights-bigquery-jp,Achieving Advanced Insights with BigQuery 日本語版,
https://www.coursera.org/learn/gcp-professional-architect-achieving-excellence-in-gcp-architecting,Achieving Excellence in GCP Architecting,
https://www.coursera.org/learn/achieving-health-equity-in-healthcare,Achieving Health Equity in Healthcare,
https://www.coursera.org/learn/achieving-supplier-diversity,Achieving Supplier Diversity,
https://www.coursera.org/projects/googlecloud-adding-a-phone-gateway-to-a-virtual-agent-wrujq,Adding a Phone Gateway to a Virtual Agent,
https://www.coursera.org/learn/climate-change-adaptation,Adapting to the Effects of Climate Change on Quality of Life,
https://www.coursera.org/learn/adelantate-a-la-crisis-elabora-el-bia-de-tu-negocio,Adelántate a la crisis: elabora el BIA de tu negocio,
https://www.coursera.org/projects/googlecloud-administering-an-alloydb-database-iymgd,Administering an AlloyDB Database,
https://www.coursera.org/projects/googlecloud-adding-an-apigee-x-environment-and-group-d6gdo,Adding an Apigee X Environment and Group,
https://www.coursera.org/learn/lead-management-in-salesforce-es,Administración de clientes potenciales en Salesforce,
https://www.coursera.org/learn/administracion-efectiva-del-tiempo,Administración efectiva del tiempo,
